ASC_Name,Provider_id,NPI,City,State,Zip_code,Year,ASC_1_Measure_Rate,ASC_1_Footnote,ASC_2_Measure_Rate,ASC_2_Footnote,ASC_3_Measure_Rate,ASC_3_Footnote,ASC_4_Measure_Rate,ASC_4_Footnote,ASC_5_Measure_Rate,ASC_5_Footnote,ASC_1_5_Encounter_Start_Date,ASC_1_5_Encounter_End_Date,ASC_6_SSChecklist,ASC_6_Footnote,ASC_7_Volume,ASC_7_Respiratory,ASC_7_Eye,ASC_7_Genitourinary,ASC_7_Musculoskeletal,ASC_7_Gastrointestinal,ASC_7_Nervous_System,ASC_7_skin,ASC_7_Footnote,ASC_6_7_Encounter_Start_Date,ASC_6_7_Encounter_End_Date,ASC_8_rate,ASC_8_Footnote,ASC_8_Encounter_Date,ASC_9_rate,ASC_9_Footnote,ASC_10_rate,ASC_10_Footnote,ASC_9_10_Encounter_Start_Date,ASC_9_10_Encounter_End_Date,ASC_11_rate,ASC_11_Footnote,ASC_11_Encounter_Start_Date,ASC_11_Encounter_End_Date,ASC_12_Total_Cases,ASC_12_Performance_Category,ASC_12_Interval_Lower_Limit,ASC_12_Interval_Upper_Limit,ASC_12_Footnote,ASC_12_Encounter_Start_Date,ASC_12_Encounter_End_Date,ASC_12_RSHV_Rate
MOUNTAIN WEST SURGERY CENTER  LLC,46C0001039,1003119470,BOUNTIFUL,UT,84010,2016,0,,0,,0,,0,,994.49,,1/1/2016,12/31/2016,Yes,,"3,810",225,"1,230",18,"1,940",35,289,73,,1/1/2016,12/31/2016,88.68,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
MEMORIAL HERMANN ENDOSCOPY CENTER NORTH FREEWAY LLC,45C0001363,1003127606,HOUSTON,TX,77018,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"3,513",0,0,0,0,"3,513",0,0,,1/1/2016,12/31/2016,95,,2016/2017,19.8,,92.86,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,207,No Different than the National Rate,8.6,17.1,,1/1/2016,12/31/2016,12.3
NEWPORT PLAZA SURGERY CENTER,05C0001672,1003138736,COSTA MESA,CA,92627,2016,0,,0,,0,,0,,979.89,,1/1/2016,12/31/2016,Yes,,801,0,0,382,286,0,0,133,,1/1/2016,12/31/2016,100,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
PIEDMONT WEST AMBULATORY SURGERY CENTER,11C0001348,1003144353,ATLANTA,GA,30318,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
AMBULATORY SURGERY CENTER OF KILLEEN,45C0001569,1003166844,KILLEEN,TX,76542,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"3,478",0,0,0,"3,478",0,0,0,,1/1/2016,12/31/2016,100,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
GREATER NEW BEDFORD SURGERY CENTER,22C0001007,1003168907,DARTMOUTH,MA,2747,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,59.26,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
MIDWEST SURGERY CENTER LLC,26C0001147,1003171745,CAPE GIRARDEAU,MO,63703,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"2,543",0,0,0,0,0,"2,543",0,,1/1/2016,12/31/2016,39.47,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
ROLLING OAKS SURGERY CENTER LLC,05C0002087,1003216276,THOUSAND OAKS,CA,91361,2016,0,1,0,1,0,1,0,1,"1,000.00",1,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
CENTRAL OHIO ENDOSCOPY CENTER LLC,36C0001284,1003220187,COLUMBUS,OH,43202,2016,0.468,,0,,0,,1.406,,142.86,1,1/1/2016,12/31/2016,Yes,,"9,503",0,0,0,0,"9,503",0,0,,1/1/2016,12/31/2016,82.17,,2016/2017,88.61,,79.99,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,988,No Different than the National Rate,9,16.3,,1/1/2016,12/31/2016,12.1
CENTER FOR SOUTHSIDE SURGERY LLC,15C0001199,1003292483,GREENWOOD,IN,46143,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
SURGERY CENTER OF MIDWEST CITY LLC,37C0001012,1003800798,MIDWEST CITY,OK,73110,2016,0,,0,,0,,0,,"1,000.00",1,1/1/2016,12/31/2016,Yes,,992,2,205,0,327,440,9,9,,1/1/2016,12/31/2016,92.11,,2016/2017,96.83,,N/A,1,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,85,No Different than the National Rate,8.5,16.8,,1/1/2016,12/31/2016,12
MINNESOTA EYE INSTITUTE SURGERY CENTER LLC,24C0001043,1003802950,ALEXANDRIA,MN,56308,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"1,256",0,"1,256",0,0,0,0,0,,1/1/2016,12/31/2016,61.54,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
LAKEVIEW SURGERY CENTER LLC,16C0001014,1003807835,WEST DES MOINES,IA,50266,2016,0,,0,,0.978,,2.933,,983.46,,1/1/2016,12/31/2016,Yes,,"3,527",450,16,406,611,196,"1,131",717,,1/1/2016,12/31/2016,88.99,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
UNIVERSITY SURGERY CENTER LTD,10C0001203,1003813221,WINTER PARK,FL,32792,2016,5.736,,0,,0,,0,,0,1,1/1/2016,12/31/2016,Yes,,"3,561",733,0,0,0,"2,799",0,29,,1/1/2016,12/31/2016,40.23,,2016/2017,93.94,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,258,No Different than the National Rate,9,17.4,,1/1/2016,12/31/2016,12.6
DOTHAN SURGERY CENTER LLC,01C0001039,1003815242,DOTHAN,AL,36301,2016,0,,0.354,,0,,0.708,,982.53,,1/1/2016,12/31/2016,Yes,,"13,599",622,854,0,"1,446","9,444","1,188",45,,1/1/2016,12/31/2016,52.71,,2016/2017,100,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,1670,No Different than the National Rate,12,19.7,,1/1/2016,12/31/2016,15.3
SAGAMORE SURGICAL SERVICES INC,15C0001041,1003816307,LAFAYETTE,IN,47909,2016,0,,0,,0,,0,,"1,000.00",1,1/1/2016,12/31/2016,Yes,,"1,226",674,1,0,201,274,18,58,,1/1/2016,12/31/2016,100,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
NORTHRIDGE FACIAL PLASTIC SURGERY MEDICAL GROUP,05C0001366,1003824434,NORTHRIDGE,CA,91325,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,202,165,0,0,0,0,37,0,,1/1/2016,12/31/2016,75,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
AUGUSTA AESTHETIC SURGERY,11C0001194,1003841511,AUGUSTA,GA,30904,2016,0,1,0,1,0,1,0,1,N/A,5,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
SUMMIT SURGERY CENTER LLC,19C0001097,1003842527,COVINGTON,LA,70433,2016,1.042,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"4,443",0,0,0,126,0,"4,317",0,,1/1/2016,12/31/2016,86.96,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
AMBULATORY CENTER FOR ENDOSCOPY LLC,31C0001203,1003842626,NORTH BERGEN,NJ,7047,2016,0,,0,,0,,0.786,,"1,000.00",1,1/1/2016,12/31/2016,Yes,,"6,859",0,0,0,0,"6,859",0,0,,1/1/2016,12/31/2016,88.89,,2016/2017,69.35,,44.84,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,463,No Different than the National Rate,9.9,18.5,,1/1/2016,12/31/2016,13.5
WESTSIDE OUTPATIENT CENTER LLC,10C0001355,1003847500,ROYAL PALM BEACH,FL,33411,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"4,903",0,0,0,"1,014",0,"3,871",18,,1/1/2016,12/31/2016,38.95,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
SILVER SPRING OPHTHALMOLOGY LLC,21C0001177,1003853136,SILVER SPRING,MD,20910,2016,0,,0,,0.923,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"1,704",0,"1,644",0,0,0,0,60,,1/1/2016,12/31/2016,65.63,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
OHIO EYE ASSOCIATES INC,36C0001024,1003855594,MANSFIELD,OH,44906,2016,0.569,,0,,0,,0,,0,1,1/1/2016,12/31/2016,Yes,,"3,162",0,"3,162",0,0,0,0,0,,1/1/2016,12/31/2016,43.48,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
PIEDMONT ENDOSCOPY CENTER  INC,34C0001028,1003858721,WINSTON SALEM,NC,27103,2016,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,94.74,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
SURGERY CENTER OF PINEHURST LLC,34C0001114,1003860917,PINEHURST,NC,28374,2016,0,,0,,0,,1.256,,999.04,,1/1/2016,12/31/2016,Yes,,"5,807",250,202,240,"1,708",69,"3,184",154,,1/1/2016,12/31/2016,98.28,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
PHYSICIANS SURGERY CENTER OF CHATTANOOGA LLC,44C0001060,1003861998,CHATTANOOGA,TN,37412,2016,0,,0,,0,,0.755,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"3,690",2,"2,361",108,26,"1,045",0,148,,1/1/2016,12/31/2016,91.04,,2016/2017,78.57,,64.52,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,42,No Different than the National Rate,9,17.9,,1/1/2016,12/31/2016,12.7
PINELLAS SURGERY CENTER LTD,10C0001250,1003870825,ST PETERSBURG,FL,33703,2016,0,,0,,0,,6.085,,995.56,,1/1/2016,12/31/2016,Yes,,"1,740",0,0,0,973,0,767,0,,1/1/2016,12/31/2016,53.85,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
MEMPHIS SURGERY CENTER LTD  LP,44C0001004,1003871104,MEMPHIS,TN,38119,2016,0,,0,,0,,0,,987.8,,1/1/2016,12/31/2016,Yes,,"1,473",154,526,18,514,87,41,133,,1/1/2016,12/31/2016,61.4,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
WILDCREEK SURGERY CENTER,29C0001035,1003875873,SPARKS,NV,89431,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"1,534",0,"1,534",0,0,0,0,0,,1/1/2016,12/31/2016,73.33,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,100,,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
CENTRAL TEXAS ENDOSCOPY CENTER LLC,45C0001265,1003887225,BRYAN,TX,77802,2016,0,,0,,0,,1.17,,N/A,5,1/1/2016,12/31/2016,Yes,,"4,502",0,0,0,0,"4,502",0,0,,1/1/2016,12/31/2016,97.56,,2016/2017,97.85,,78.59,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,1006,No Different than the National Rate,9.6,16.9,,1/1/2016,12/31/2016,12.7
AUSTIN ENDOSCOPY CENTER II LP,45C0001295,1003887845,AUSTIN,TX,78745,2016,0,,0,,0,,0.411,,0,1,1/1/2016,12/31/2016,Yes,,"13,213",0,0,0,0,"13,213",0,0,,1/1/2016,12/31/2016,72.73,,2016/2017,89.58,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,1350,No Different than the National Rate,7.9,14.6,,1/1/2016,12/31/2016,10.7
LOUISVILLE ENDOSCOPY CENTER  PLLC,18C0001029,1003888595,LOUISVILLE,KY,40217,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"7,559",0,0,0,0,"7,559",0,0,,1/1/2016,12/31/2016,67.24,,2016/2017,100,,90.4,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,793,No Different than the National Rate,8.1,15.1,,1/1/2016,12/31/2016,11.2
DIGESTIVE ENDOSCOPY CENTER LLC,36C0001084,1003888710,KETTERING,OH,45429,2016,0,,0.699,,0,,0.699,,N/A,5,1/1/2016,12/31/2016,Yes,,"7,108",0,0,0,0,"7,108",0,0,,1/1/2016,12/31/2016,81.05,,2016/2017,80.95,,92.47,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,573,No Different than the National Rate,8.6,16,,1/1/2016,12/31/2016,11.8
ENDOSCOPY GROUP LLC,10C0001252,1003889346,PENSACOLA,FL,32503,2016,0.226,,0.226,,0,,0.226,,N/A,5,1/1/2016,12/31/2016,Yes,,"18,646",0,0,0,0,"18,646",0,0,,1/1/2016,12/31/2016,63.72,,2016/2017,100,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,2035,No Different than the National Rate,9.1,15,,1/1/2016,12/31/2016,11.8
THE WALDORF ENDOSCOPY ASC LLC,21C0001062,1003889379,WALDORF,MD,20603,2016,0,,0,,0,,1.664,,N/A,5,1/1/2016,12/31/2016,Yes,,"6,298",0,0,0,0,"6,298",0,0,,1/1/2016,12/31/2016,84.85,,2016/2017,100,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,1033,No Different than the National Rate,10.2,18.1,,1/1/2016,12/31/2016,13.6
COMMUNITY SURGERY CENTER NORTHWEST,15C0001034,1003897448,INDIANAPOLIS,IN,46260,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,918,0,0,0,852,36,0,30,,1/1/2016,12/31/2016,97.47,,2016/2017,N/A,1,61.54,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,Number of Cases Too Small,N/A,N/A,1,1/1/2016,12/31/2016,N/A
OREGON TRAIL EYE SURGERY CENTER INC,28C0001036,1003909789,SCOTTSBLUFF,NE,69361,2016,3.102,,0,,0,,0,,0,1,1/1/2016,12/31/2016,Yes,,"1,102",0,"1,102",0,0,0,0,0,,1/1/2016,12/31/2016,50,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,100,,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
MIFFLIN COUNTY COMMUNITY SURGICAL CENTER PC,39C0001072,1003935354,LEWISTOWN,PA,17044,2016,0,,0,,0,,0,,"1,000.00",1,1/1/2016,12/31/2016,Yes,,"1,196",0,"1,073",0,123,0,0,0,,1/1/2016,12/31/2016,33.33,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
VAIL VALLEY SURGERY CENTER  LLC,06C0001074,1003944125,VAIL,CO,81657,2016,0,,0,,0,,8.264,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"2,652",0,0,0,"2,576",0,76,0,,1/1/2016,12/31/2016,98.68,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
PACIFIC HEIGHTS SURGERY CENTER LP,05C0001661,1003965328,SAN FRANCISCO,CA,94115,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"1,015",74,0,0,880,0,60,1,,1/1/2016,12/31/2016,100,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
THE ORTHOPAEDIC SURGERY CENTER LLC,52C0001074,1003976929,PEWAUKEE,WI,53072,2016,23.866,,0,,0,,1.224,,978.72,,1/1/2016,12/31/2016,Yes,,"4,271",0,0,0,"4,271",0,0,0,,1/1/2016,12/31/2016,68.83,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
PIEDMONT EYE,11C0001203,1003993965,ATLANTA,GA,30327,2016,0,,0,,0,,0,,979.17,,1/1/2016,12/31/2016,Yes,,"5,304",0,"5,304",0,0,0,0,0,,1/1/2016,12/31/2016,88.06,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
BAY AREA ENDOSCOPY AND SURGERY CENTER LP,10C0001196,1013011162,ST PETERSBURG,FL,33709,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,757,0,0,0,0,757,0,0,,1/1/2016,12/31/2016,38.46,,2016/2017,100,,95.24,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,128,No Different than the National Rate,8.6,17.2,,1/1/2016,12/31/2016,12.2
PHOENIX EYE SURGICAL CENTER PLC,03C0001023,1013021682,PHOENIX,AZ,85012,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,0,0,0,0,0,0,0,0,,1/1/2016,12/31/2016,44.44,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
GASTROENTEROLOGY DIAGNOSTIC CENTER MEDICAL GROUP,05C0001186,1013048461,MONTEREY PARK,CA,91754,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"4,578",0,0,0,0,"4,578",0,0,,1/1/2016,12/31/2016,57.89,,2016/2017,78.93,,61.94,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,153,No Different than the National Rate,8.9,17.8,,1/1/2016,12/31/2016,12.6
RENAISSANCE SURGERY CENTER  LLC,05C0001702,1013068642,PALM DESERT,CA,92260,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,664,0,0,0,130,0,189,345,,1/1/2016,12/31/2016,87.5,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
